epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,895.974,1.39926,2.09094,3.523,0.89144,0.30959,0.37282,0.27612,0.1882,0.28832,0.34163,0.23727,0.09407,1.23055,1.71051,2.21005,0.85447,0.07003,0.00333,0.00333
2,1821.47,1.24909,1.71753,1.81188,0.86443,0.67924,0.55208,0.6334,0.45286,0.62305,0.49145,0.52584,0.18768,1.08694,1.66521,1.42442,0.84143,0.040008,0.00664134,0.00664134
3,2833.44,1.21247,1.6653,1.32745,0.86229,0.79441,0.63715,0.74434,0.52821,0.72425,0.55055,0.59847,0.2108,1.07238,1.6054,1.13811,0.84098,0.00996402,0.00993069,0.00993069
4,3847.11,1.14343,1.60172,1.13035,0.85387,0.86003,0.68734,0.80338,0.58267,0.77446,0.60618,0.65525,0.22667,0.99786,1.49225,0.93911,0.83018,0.009901,0.009901,0.009901
5,4777.66,1.07723,1.52527,1.01252,0.84476,0.85701,0.71347,0.82054,0.595,0.76897,0.6255,0.66361,0.22567,1.00075,1.51704,0.87375,0.83434,0.009868,0.009868,0.009868
6,5669.11,1.03188,1.46601,0.92884,0.83936,0.86715,0.72712,0.83477,0.62079,0.79689,0.64665,0.69328,0.24741,0.93039,1.37553,0.79399,0.8261,0.009835,0.009835,0.009835
7,6439.15,1.00554,1.43133,0.87578,0.83442,0.87726,0.74649,0.84887,0.64231,0.80378,0.66446,0.7084,0.25686,0.8908,1.33737,0.77513,0.81803,0.009802,0.009802,0.009802
8,7212.04,0.98377,1.40803,0.83904,0.83097,0.91234,0.75666,0.86757,0.66115,0.83493,0.68006,0.72656,0.27196,0.86864,1.29495,0.7077,0.81661,0.009769,0.009769,0.009769
9,7952.46,0.96554,1.38209,0.80773,0.83069,0.90743,0.77399,0.87185,0.65638,0.80767,0.67813,0.70277,0.24379,0.90014,1.29606,0.70059,0.81848,0.009736,0.009736,0.009736
10,8698.07,0.9517,1.35782,0.78488,0.8272,0.91373,0.76758,0.87313,0.66673,0.83282,0.69045,0.73009,0.26865,0.86695,1.27904,0.67795,0.81533,0.009703,0.009703,0.009703
11,9456.7,0.94274,1.34644,0.77059,0.82625,0.92111,0.7765,0.87663,0.67583,0.83995,0.70025,0.73728,0.27638,0.84185,1.26608,0.65287,0.81303,0.00967,0.00967,0.00967
12,10208.7,0.92984,1.32053,0.74122,0.8247,0.91751,0.78726,0.88748,0.68636,0.85284,0.71809,0.76229,0.30904,0.82614,1.23782,0.62375,0.8115,0.009637,0.009637,0.009637
13,10961.8,0.91579,1.31222,0.72099,0.82205,0.91731,0.79417,0.8919,0.68409,0.86076,0.71979,0.76832,0.32578,0.84322,1.23021,0.61111,0.81233,0.009604,0.009604,0.009604
14,11732.1,0.91003,1.30008,0.70954,0.819,0.91864,0.79306,0.89157,0.68534,0.86527,0.71951,0.77036,0.3413,0.83568,1.23225,0.6011,0.81242,0.009571,0.009571,0.009571
15,12499.5,0.90075,1.28782,0.69462,0.82055,0.92575,0.79698,0.89489,0.69236,0.87024,0.73583,0.78587,0.3671,0.81957,1.20993,0.58875,0.80902,0.009538,0.009538,0.009538
16,13263.6,0.89884,1.28317,0.68942,0.8203,0.92152,0.80165,0.89663,0.69403,0.8692,0.7504,0.80036,0.38423,0.81936,1.22606,0.5806,0.80969,0.009505,0.009505,0.009505
17,14036.3,0.89134,1.27434,0.68105,0.81986,0.92801,0.805,0.90456,0.7057,0.89683,0.75145,0.81652,0.40802,0.79549,1.19208,0.56021,0.8077,0.009472,0.009472,0.009472
18,14801.3,0.88205,1.27702,0.66291,0.81843,0.92544,0.81371,0.903,0.70931,0.88648,0.762,0.81753,0.42186,0.77794,1.16565,0.55258,0.80511,0.009439,0.009439,0.009439
19,15567.8,0.88036,1.2633,0.65996,0.81766,0.93187,0.81114,0.90675,0.70791,0.89085,0.7584,0.81418,0.40719,0.80036,1.18505,0.54715,0.80768,0.009406,0.009406,0.009406
20,16337.6,0.87789,1.26098,0.66013,0.81627,0.925,0.81986,0.9081,0.71297,0.8925,0.76552,0.82438,0.42217,0.78019,1.16876,0.53975,0.80614,0.009373,0.009373,0.009373
21,17108.2,0.87092,1.2554,0.64783,0.81625,0.93992,0.81443,0.90979,0.71598,0.9008,0.7682,0.82638,0.42074,0.77646,1.15451,0.52832,0.80519,0.00934,0.00934,0.00934
22,17882.8,0.87098,1.24593,0.6455,0.81533,0.92862,0.82343,0.91262,0.71738,0.89974,0.77093,0.83188,0.42636,0.77647,1.17268,0.52452,0.80456,0.009307,0.009307,0.009307
23,18650.4,0.86487,1.24292,0.63699,0.81535,0.93281,0.82285,0.91386,0.71884,0.90039,0.76894,0.82748,0.41984,0.77532,1.14626,0.5185,0.80504,0.009274,0.009274,0.009274
24,19420.6,0.86028,1.2296,0.63136,0.81469,0.92989,0.82775,0.91613,0.72354,0.90383,0.77129,0.83427,0.43102,0.76108,1.12671,0.50895,0.80315,0.009241,0.009241,0.009241
25,20195.1,0.85608,1.23087,0.62599,0.8132,0.94749,0.81786,0.91682,0.72689,0.91684,0.77492,0.84057,0.44431,0.7564,1.12814,0.50143,0.80321,0.009208,0.009208,0.009208
26,20967,0.85241,1.22805,0.62266,0.81397,0.93598,0.8314,0.91768,0.72829,0.9059,0.78402,0.84178,0.44157,0.75353,1.11843,0.49704,0.80286,0.009175,0.009175,0.009175
27,21737.8,0.84786,1.22389,0.61575,0.81325,0.94662,0.82551,0.91871,0.72938,0.91211,0.78321,0.84505,0.44479,0.75454,1.11684,0.49562,0.80263,0.009142,0.009142,0.009142
28,22524.6,0.84544,1.21893,0.61033,0.8125,0.93695,0.83535,0.92002,0.7306,0.90791,0.78895,0.84693,0.44525,0.75084,1.10987,0.4923,0.80243,0.009109,0.009109,0.009109
29,23299.5,0.84428,1.21368,0.61101,0.8123,0.94334,0.83176,0.92055,0.73246,0.91024,0.79216,0.85014,0.45313,0.74765,1.10381,0.48816,0.80202,0.009076,0.009076,0.009076
30,24075.9,0.83941,1.20801,0.60639,0.81375,0.94018,0.8363,0.92322,0.73552,0.90926,0.78772,0.84836,0.45076,0.74668,1.10476,0.48435,0.80177,0.009043,0.009043,0.009043
31,24845.1,0.83626,1.20339,0.6033,0.8116,0.94725,0.83118,0.92246,0.73434,0.91246,0.78732,0.84548,0.44833,0.74641,1.10086,0.48395,0.80195,0.00901,0.00901,0.00901
32,25618,0.83495,1.20492,0.60229,0.80991,0.94061,0.83656,0.9235,0.73567,0.90694,0.79334,0.84991,0.45005,0.74097,1.09418,0.47901,0.80067,0.008977,0.008977,0.008977
33,26410,0.83414,1.19334,0.59837,0.81081,0.94045,0.83777,0.92409,0.73729,0.9133,0.78986,0.84916,0.45245,0.74071,1.09092,0.47667,0.80096,0.008944,0.008944,0.008944
33,1010.67,0.83065,1.18942,0.59125,0.81122,0.94809,0.83195,0.92248,0.73701,0.91577,0.79118,0.85196,0.45895,0.73751,1.09076,0.47246,0.80082,0.008944,0.008944,0.008944
34,1878.71,0.8313,1.19323,0.59272,0.81135,0.94548,0.83998,0.92547,0.73995,0.91349,0.79764,0.85446,0.4575,0.73949,1.08771,0.47246,0.80122,0.008911,0.008911,0.008911
35,2700.73,0.83095,1.19171,0.59346,0.81073,0.94621,0.83974,0.92624,0.74067,0.91323,0.79673,0.85254,0.45616,0.73763,1.09283,0.46938,0.80091,0.008878,0.008878,0.008878
36,3494.58,0.82738,1.18702,0.59009,0.80988,0.94187,0.84007,0.92655,0.73983,0.91464,0.79323,0.85325,0.4542,0.74043,1.09132,0.46905,0.80102,0.008845,0.008845,0.008845
37,4275.91,0.82492,1.19151,0.5881,0.81035,0.94034,0.84465,0.92763,0.74027,0.91385,0.79626,0.8561,0.45288,0.74007,1.08935,0.46677,0.80071,0.008812,0.008812,0.008812
38,5049.64,0.82491,1.19245,0.58891,0.81122,0.94402,0.84391,0.92791,0.7442,0.91546,0.79805,0.85676,0.46275,0.73028,1.07708,0.46338,0.80002,0.008779,0.008779,0.008779
39,5814.17,0.82366,1.19266,0.58656,0.81059,0.94837,0.84209,0.92847,0.74305,0.92123,0.79514,0.85527,0.45604,0.73506,1.07885,0.46298,0.80001,0.008746,0.008746,0.008746
40,6583.62,0.82138,1.187,0.5835,0.80976,0.94751,0.84412,0.92909,0.74561,0.9178,0.79958,0.85683,0.45979,0.72965,1.07236,0.46046,0.79985,0.008713,0.008713,0.008713
41,7343.3,0.81696,1.18061,0.57909,0.80951,0.94635,0.84556,0.93001,0.74739,0.91792,0.80157,0.85947,0.46752,0.72505,1.0652,0.45681,0.79953,0.00868,0.00868,0.00868
42,8109.18,0.81832,1.17953,0.57845,0.80901,0.95249,0.84082,0.92992,0.74785,0.91787,0.79906,0.85897,0.46423,0.72356,1.06706,0.45528,0.79946,0.008647,0.008647,0.008647
43,8872.01,0.81831,1.17323,0.58016,0.80856,0.94862,0.84449,0.92993,0.74752,0.92091,0.79771,0.85773,0.46207,0.72396,1.07033,0.45496,0.79933,0.008614,0.008614,0.008614
44,9638.85,0.815,1.17432,0.57782,0.80829,0.95006,0.84559,0.93043,0.74946,0.91912,0.80105,0.85864,0.46577,0.71956,1.06346,0.45165,0.79886,0.008581,0.008581,0.008581
45,10389.1,0.81286,1.17564,0.57426,0.80904,0.94664,0.84887,0.93086,0.74884,0.91676,0.80172,0.85935,0.46454,0.71947,1.06384,0.45211,0.79901,0.008548,0.008548,0.008548
46,11154.7,0.81296,1.17132,0.5739,0.80857,0.9503,0.84612,0.9311,0.75003,0.91894,0.80467,0.86056,0.4675,0.71862,1.06289,0.45039,0.79891,0.008515,0.008515,0.008515
47,11918.7,0.81129,1.17348,0.57303,0.80783,0.9481,0.84737,0.93169,0.75093,0.92478,0.8008,0.86289,0.46858,0.71632,1.05901,0.44936,0.7988,0.008482,0.008482,0.008482
48,12690.4,0.80792,1.16474,0.56934,0.80766,0.95023,0.84832,0.93215,0.75226,0.91479,0.808,0.86299,0.47093,0.7138,1.05566,0.44716,0.79858,0.008449,0.008449,0.008449
49,13454.5,0.80631,1.15994,0.56707,0.80766,0.95124,0.84948,0.93233,0.75323,0.92048,0.80696,0.86426,0.47199,0.7121,1.05048,0.44551,0.79852,0.008416,0.008416,0.008416
50,14224.4,0.8036,1.16163,0.56324,0.80869,0.95056,0.85286,0.93297,0.75323,0.91949,0.809,0.86476,0.4729,0.71223,1.04852,0.44494,0.79846,0.008383,0.008383,0.008383
51,14992.2,0.80709,1.1688,0.56513,0.80782,0.95054,0.85146,0.93318,0.75334,0.92249,0.80694,0.86486,0.47436,0.71209,1.04882,0.44366,0.79835,0.00835,0.00835,0.00835
52,15763.3,0.80309,1.16046,0.56459,0.80778,0.95077,0.85085,0.93343,0.75368,0.92326,0.80666,0.86558,0.47444,0.71348,1.04932,0.44332,0.79843,0.008317,0.008317,0.008317
53,16532.8,0.79976,1.16369,0.56126,0.80782,0.94906,0.85126,0.9335,0.75394,0.92258,0.80614,0.86476,0.47246,0.7129,1.05102,0.44264,0.7983,0.008284,0.008284,0.008284
54,17305.6,0.8006,1.15843,0.56034,0.80738,0.94698,0.85309,0.93383,0.75438,0.92495,0.80487,0.86553,0.47446,0.71137,1.04861,0.44183,0.79822,0.008251,0.008251,0.008251
55,18072,0.79835,1.1554,0.55684,0.80787,0.9476,0.85334,0.93405,0.75536,0.92287,0.80499,0.86535,0.47427,0.70996,1.04702,0.44103,0.79814,0.008218,0.008218,0.008218
56,18844.5,0.79973,1.15199,0.55701,0.80688,0.95084,0.85251,0.9346,0.75645,0.92576,0.80579,0.8669,0.47654,0.70735,1.04347,0.43945,0.79797,0.008185,0.008185,0.008185
